"address","name","balance","spendable","excludableBalance","chain"
0xc61242b46068d29594ccc1484af94072ab3b246a,,0,0,,mainnet
0xf4ed8aafc9bcae35db4ca9705c950f190b7d1e92,,0,0,,mainnet
0x775737caa124584db98dafa4ab6302b4a46c10be,,0,0,,mainnet
0xc59beb5bfe879f2c3352a352cc5e2432598e35b7,,0,0,,mainnet
0x1e3d7b2f06ff92e3fd293d8246856d13b3c9063b,,330.0862329300718,330.0862329300718,,mainnet
0x36220d1fc55d0afb0c3c58b6c1224875547c9f36,,0,0,,mainnet
0x9dcc35ae915926f7f5e8c624254d91f755d55b71,,0,0,,mainnet
0xd1402db2d28baeb571b32757938a12575221672d,,0,0,,mainnet
0x17816595fcbddf02adbc39fb8c238253136b4360,,0,0,,mainnet
0x3062dadfc72e65f97912bd73d6cd4ebe93682ff0,,796.9802369109042,796.9802369109042,,mainnet
0xead6605b9e105e28bd35e9f494131c10c1281ce9,,0,0,,mainnet
0x7dc1a46f77b1deeca190cd7ca75892ab59a71020,,0,0,,mainnet
0xd52ebce9adc24a47ecbfbeabc8ef042590411c73,,0,0,,mainnet
0xc7d1aadac193c242fdf311e41d8542cae1111111,,0,0,,mainnet
0x807d37759fc99424db17292cd677ddcea41f932a,,0,0,,mainnet
0xa61c980175992c52c9469442be844b05dcaf5fe0,,907.2787797584139,907.2787797584139,,mainnet
0xd9e6e5dcdf19c16666b268d61db04a712932d407,,69.1748936112314,69.1748936112314,,mainnet
0xf4b82d1cd404231f7a622536c77edfa4fdef479c,,0,0,,mainnet
0x9272227568d59326a9be3a2bebbc79c5eb2aff4a,,0,0,,mainnet
0xfd7bd29e1050932829c1fc080ea42d7394c42847,,0.29566852483790407,0.29566852483790407,,mainnet
0x38f19e943387b58a2d7f0213de654cb4afd2dce7,,0,0,,mainnet
0x4eb4c0ff9fe43ec9a7c1f8d91234aec3c3df97f0,,333.6093532512543,333.6093532512543,,mainnet
0xdafb4c392b1a335dc0c8e0d92b28f1fb656aa6df,,0,0,,mainnet
0x2b77fb1c59aac4cb785d0fc9ecd3623479a59022,,0,0,,mainnet
0x9459b43e87199c9fc9c9743f2eb660236a93eb14,,641.2644195928846,641.2644195928846,,mainnet
0x4000492bb9fdde20be1a4e4ef8a95282115bd5bd,,0,0,,mainnet
0x4877678fcf2f064c54f2a2d2a3f326be7dc96016,,0,0,,mainnet
0xb032cc4bd2295b51b07ea0aa43c3465c8f3abe2b,,0,0,,mainnet
